Month,Country,Product_Category,Units_Sold,Unit_Price,Discount,Revenue
2023-01,Australia,Clothing,16,60.26,0.27,703.84
2023-01,Brazil,Toys,34,103.04,0.17,2907.79
2023-01,Japan,Home,25,163.49,0.29,2901.95
2023-01,Japan,Clothing,22,257.75,0.01,5613.8
2023-01,Brazil,Clothing,43,135.79,0.16,4904.73
2023-01,France,Toys,44,965.6,0.14,36538.3
2023-01,Japan,Electronics,32,536.04,0.16,14408.76
2023-01,Brazil,Toys,16,976.09,0.15,13274.82
2023-01,Japan,Home,17,404.83,0.13,5987.44
2023-01,USA,Home,26,35.1,0.29,647.95
2023-01,Brazil,Home,9,691.61,0.02,6100.0
2023-01,USA,Electronics,47,257.74,0.16,10175.58
2023-01,Australia,Electronics,40,935.27,0.19,30302.75
2023-01,France,Home,5,615.6,0.13,2677.86
2023-01,Germany,Clothing,16,167.06,0.04,2566.04
2023-01,France,Clothing,28,55.54,0.01,1539.57
2023-01,Japan,Clothing,5,479.43,0.03,2325.24
2023-01,Australia,Electronics,39,352.84,0.14,11834.25
2023-01,France,Home,10,949.65,0.27,6932.44
2023-01,Germany,Home,10,629.6,0.15,5351.6
2023-01,India,Toys,5,687.12,0.18,2817.19
2023-01,Australia,Home,2,36.25,0.18,59.45
2023-01,UK,Toys,24,680.4,0.17,13553.57
2023-02,India,Electronics,43,942.05,0.12,35647.17
2023-02,India,Toys,10,214.62,0.08,1974.5
2023-02,Germany,Home,46,28.04,0.03,1251.14
2023-02,UK,Home,17,659.17,0.12,9861.18
2023-02,USA,Clothing,34,268.09,0.15,7747.8
2023-02,USA,Electronics,45,937.28,0.01,41755.82
2023-02,India,Electronics,36,185.67,0.23,5146.77
2023-02,Australia,Home,49,734.33,0.04,34542.88
2023-02,India,Home,32,347.4,0.28,8004.1
2023-02,France,Toys,49,683.05,0.22,26106.17
2023-02,UK,Electronics,30,903.53,0.15,23040.01
2023-02,Australia,Electronics,22,304.66,0.03,6501.44
2023-02,Germany,Toys,41,848.67,0.11,30967.97
2023-02,Germany,Clothing,31,951.1,0.17,24471.8
2023-02,Brazil,Toys,5,300.28,0.1,1351.26
2023-02,UK,Electronics,36,946.73,0.23,26243.36
2023-02,Brazil,Electronics,42,974.51,0.3,28650.59
2023-02,USA,Electronics,35,888.83,0.11,27687.05
2023-02,USA,Home,12,691.15,0.25,6220.35
2023-02,India,Electronics,38,93.27,0.21,2799.97
2023-02,USA,Electronics,27,709.18,0.02,18764.9
2023-02,France,Clothing,19,585.49,0.26,8231.99
2023-02,Japan,Toys,17,947.78,0.3,11278.58
2023-02,Germany,Toys,6,711.1,0.14,3669.28
2023-02,Germany,Clothing,39,429.98,0.27,12241.53
2023-02,Brazil,Clothing,3,261.15,0.12,689.44
2023-02,Japan,Clothing,20,127.63,0.04,2450.5
2023-02,India,Home,1,684.23,0.07,636.33
2023-02,India,Home,49,92.06,0.16,3789.19
2023-02,France,Clothing,44,978.12,0.17,35720.94
2023-02,Brazil,Electronics,16,532.42,0.3,5963.1
2023-02,France,Toys,35,698.46,0.02,23957.18
2023-02,Brazil,Electronics,49,698.79,0.14,29447.01
2023-02,France,Clothing,3,902.15,0.01,2679.39
2023-02,Germany,Clothing,32,67.29,0.12,1894.89
2023-02,Australia,Toys,8,177.98,0.19,1153.31
2023-02,Australia,Clothing,28,86.96,0.29,1728.76
2023-02,Australia,Home,17,286.97,0.12,4293.07
2023-02,France,Toys,48,170.99,0.27,5991.49
2023-02,France,Clothing,18,422.47,0.17,6311.7
2023-02,India,Clothing,10,933.4,0.26,6907.16
2023-02,France,Electronics,33,779.83,0.14,22131.58
2023-02,Brazil,Electronics,11,598.19,0.11,5856.28
2023-02,Japan,Home,27,573.39,0.02,15171.9
2023-02,India,Home,1,23.54,0.02,23.07
2023-02,Germany,Electronics,5,999.72,0.3,3499.02
2023-02,France,Home,37,728.86,0.23,20765.22
2023-02,UK,Electronics,21,456.04,0.04,9193.77
2023-02,UK,Electronics,13,215.16,0.26,2069.84
2023-02,Australia,Toys,34,364.58,0.03,12023.85
2023-02,USA,Clothing,34,481.45,0.25,12276.97
2023-02,USA,Toys,1,556.39,0.17,461.8
2023-02,Japan,Home,17,142.68,0.01,2401.3
2023-02,Brazil,Electronics,21,642.97,0.24,10261.8
2023-02,Brazil,Clothing,34,357.08,0.18,9955.39
2023-02,Japan,Home,27,100.09,0.22,2107.9
2023-02,India,Clothing,33,785.82,0.12,22820.21
2023-02,Brazil,Clothing,17,950.03,0.04,15504.49
2023-02,Australia,Electronics,10,771.23,0.02,7558.05
2023-02,France,Clothing,6,497.69,0.1,2687.53
2023-02,UK,Home,48,348.15,0.16,14037.41
2023-02,Brazil,Home,16,160.38,0.04,2463.44
2023-02,Australia,Toys,40,699.54,0.12,24623.81
2023-02,Australia,Home,27,670.88,0.05,17208.07
2023-02,USA,Home,19,823.57,0.1,14083.05
2023-02,USA,Electronics,22,97.82,0.04,2065.96
2023-02,India,Toys,26,895.28,0.04,22346.19
2023-02,USA,Electronics,27,48.92,0.24,1003.84
2023-02,India,Clothing,47,516.54,0.05,23063.51
2023-02,Australia,Electronics,17,284.11,0.24,3670.7
2023-02,India,Home,15,541.22,0.28,5845.18
2023-02,Japan,Clothing,28,375.22,0.14,9035.3
2023-02,France,Clothing,14,156.26,0.04,2100.13
2023-02,UK,Home,23,516.56,0.16,9979.94
2023-02,France,Clothing,38,537.29,0.07,18987.83
2023-02,India,Home,37,190.46,0.17,5849.03
2023-02,India,Home,22,334.22,0.04,7058.73
2023-02,India,Electronics,20,479.23,0.11,8530.29
2023-02,India,Electronics,18,96.05,0.16,1452.28
2023-02,USA,Home,8,590.67,0.17,3922.05
2023-02,USA,Electronics,37,369.45,0.19,11072.42
2023-02,USA,Home,45,337.04,0.28,10920.1
2023-02,France,Clothing,21,161.33,0.07,3150.77
2023-02,Germany,Clothing,11,97.01,0.24,811.0
2023-02,Australia,Home,9,89.43,0.16,676.09
2023-02,Australia,Electronics,36,997.28,0.27,26208.52
2023-02,Germany,Toys,11,866.85,0.25,7151.51
2023-02,India,Clothing,38,671.96,0.28,18384.83
2023-02,Brazil,Home,8,481.85,0.25,2891.1
2023-02,France,Clothing,26,330.44,0.13,7474.55
2023-02,India,Toys,49,534.54,0.21,20692.04
2023-02,Japan,Toys,38,585.43,0.05,21134.02
2023-02,Germany,Electronics,43,597.94,0.11,22883.16
2023-02,Australia,Clothing,5,72.74,0.3,254.59
2023-02,France,Toys,2,96.99,0.04,186.22
2023-02,India,Electronics,9,599.68,0.14,4641.52
2023-02,Brazil,Home,30,115.63,0.26,2566.99
2023-02,Germany,Toys,14,933.61,0.3,9149.38
2023-02,USA,Toys,35,75.83,0.22,2070.16
2023-02,Japan,Toys,29,148.37,0.24,3270.07
2023-03,Japan,Toys,30,826.88,0.06,23318.02
2023-03,UK,Home,14,527.83,0.11,6576.76
2023-03,France,Clothing,25,686.15,0.14,14752.23
2023-03,Australia,Clothing,32,468.05,0.09,13629.62
2023-03,Brazil,Home,15,581.71,0.11,7765.83
2023-03,Brazil,Home,2,548.12,0.27,800.26
2023-03,UK,Home,6,940.43,0.19,4570.49
2023-03,Australia,Clothing,15,879.84,0.15,11217.96
2023-03,Japan,Home,27,790.71,0.05,20281.71
2023-03,India,Electronics,37,780.79,0.04,27733.66
2023-03,Germany,Clothing,2,764.83,0.26,1131.95
2023-03,India,Clothing,38,541.12,0.11,18300.68
2023-03,France,Toys,15,799.32,0.04,11510.21
2023-03,Brazil,Toys,12,774.16,0.0,9289.92
2023-03,UK,Home,36,547.3,0.08,18126.58
2023-03,France,Toys,11,959.48,0.1,9498.85
2023-03,Japan,Toys,23,467.39,0.28,7739.98
2023-03,Germany,Clothing,13,147.73,0.03,1862.88
2023-03,India,Home,40,873.4,0.28,25153.92
2023-03,Germany,Toys,4,792.18,0.01,3137.03
2023-03,Brazil,Clothing,49,580.53,0.18,23325.7
2023-03,Japan,Home,29,113.2,0.25,2462.1
2023-03,UK,Home,1,122.11,0.3,85.48
2023-03,Japan,Toys,23,921.63,0.26,15686.14
2023-03,Brazil,Home,40,611.82,0.11,21780.79
2023-03,France,Electronics,10,804.82,0.0,8048.2
2023-03,India,Home,25,864.88,0.28,15567.84
2023-03,Brazil,Clothing,27,740.13,0.14,17185.82
2023-03,UK,Home,44,913.62,0.07,37385.33
2023-03,India,Home,6,43.54,0.09,237.73
2023-03,France,Home,43,635.94,0.0,27345.42
2023-03,France,Electronics,7,975.79,0.14,5874.26
2023-03,Germany,Clothing,22,94.5,0.3,1455.3
2023-03,India,Home,1,316.84,0.12,278.82
2023-03,UK,Home,19,355.89,0.14,5815.24
2023-03,India,Electronics,29,477.35,0.17,11489.81
2023-03,USA,Electronics,14,716.92,0.16,8430.98
2023-03,Japan,Toys,49,406.76,0.17,16542.93
2023-03,Brazil,Toys,1,341.02,0.02,334.2
2023-03,UK,Toys,10,278.04,0.19,2252.12
2023-03,Germany,Electronics,23,979.14,0.25,16890.17
2023-03,Brazil,Electronics,8,36.83,0.07,274.02
2023-03,Australia,Home,8,113.07,0.24,687.47
2023-03,UK,Home,33,561.15,0.22,14444.0
2023-03,UK,Toys,24,725.04,0.26,12876.71
2023-03,UK,Toys,4,944.97,0.04,3628.68
2023-03,Japan,Home,48,96.06,0.19,3734.81
2023-03,India,Home,21,36.27,0.05,723.59
2023-03,Germany,Electronics,18,893.74,0.25,12065.49
2023-03,Germany,Home,42,826.86,0.11,30908.03
2023-03,Brazil,Toys,20,627.91,0.12,11051.22
2023-03,Japan,Electronics,34,862.46,0.07,27270.99
2023-03,USA,Clothing,44,148.71,0.26,4842.0
2023-03,Australia,Home,46,476.35,0.05,20816.5
2023-03,USA,Home,17,275.99,0.16,3941.14
2023-03,France,Electronics,39,225.84,0.19,7134.29
2023-03,Japan,Toys,26,530.43,0.05,13101.62
2023-03,Brazil,Electronics,11,824.36,0.16,7617.09
2023-03,USA,Toys,41,281.31,0.17,9572.98
2023-03,India,Clothing,12,214.36,0.0,2572.32
2023-03,France,Home,31,875.15,0.18,22246.31
2023-03,Germany,Electronics,7,577.56,0.25,3032.19
2023-03,France,Toys,46,56.5,0.05,2469.05
2023-03,UK,Electronics,36,773.28,0.02,27281.32
2023-03,UK,Toys,11,362.12,0.22,3106.99
2023-03,Brazil,Toys,35,949.81,0.12,29254.15
2023-03,Australia,Clothing,22,735.25,0.06,15204.97
2023-03,Germany,Home,20,170.39,0.25,2555.85
2023-03,India,Clothing,45,163.13,0.19,5946.09
2023-03,USA,Electronics,9,84.39,0.22,592.42
2023-03,India,Electronics,43,602.3,0.14,22273.05
2023-03,UK,Home,37,12.32,0.29,323.65
2023-03,Japan,Clothing,12,367.36,0.03,4276.07
2023-03,UK,Electronics,17,950.73,0.13,14061.3
2023-03,Brazil,Toys,16,874.22,0.22,10910.27
2023-03,France,Electronics,23,726.86,0.19,13541.4
2023-03,Australia,Electronics,18,494.53,0.07,8278.43
2023-03,USA,Electronics,45,673.22,0.01,29991.95
2023-03,Australia,Home,17,188.77,0.17,2663.54
2023-03,USA,Home,14,129.32,0.22,1412.17
2023-03,UK,Toys,8,971.35,0.28,5594.98
2023-03,USA,Home,30,64.33,0.14,1659.71
2023-03,UK,Clothing,39,46.64,0.18,1491.55
2023-03,UK,Toys,45,86.18,0.21,3063.7
2023-03,Australia,Clothing,23,74.7,0.09,1563.47
2023-03,India,Toys,29,665.04,0.22,15043.2
2023-03,India,Toys,45,619.7,0.07,25934.45
2023-03,Brazil,Home,42,990.44,0.0,41598.48
2023-03,France,Electronics,18,939.68,0.24,12854.82
2023-03,Brazil,Clothing,29,769.52,0.12,19638.15
2023-03,France,Toys,16,874.94,0.3,9799.33
2023-03,USA,Clothing,25,343.01,0.16,7203.21
2023-03,India,Clothing,49,119.37,0.11,5205.73
2023-03,Japan,Clothing,4,718.4,0.18,2356.35
2023-03,Australia,Electronics,46,54.65,0.03,2438.48
2023-03,India,Toys,4,226.07,0.28,651.08
2023-03,France,Electronics,43,592.67,0.29,18094.22
2023-03,Brazil,Clothing,24,472.73,0.18,9303.33
2023-03,India,Home,4,239.35,0.28,689.33
2023-03,Brazil,Clothing,45,129.14,0.01,5753.19
2023-04,India,Clothing,41,194.57,0.23,6142.57
2023-04,Japan,Electronics,5,633.48,0.06,2977.36
2023-04,India,Home,20,994.96,0.05,18904.24
2023-04,USA,Home,18,699.06,0.05,11953.93
2023-04,Australia,Home,38,626.71,0.22,18575.68
2023-04,India,Electronics,4,584.29,0.03,2267.05
2023-04,India,Toys,3,280.23,0.14,722.99
2023-04,UK,Electronics,34,863.51,0.24,22313.1
2023-04,Australia,Electronics,5,737.86,0.08,3394.16
2023-04,Germany,Home,38,267.16,0.22,7918.62
2023-04,USA,Clothing,6,962.5,0.03,5601.75
2023-04,Germany,Electronics,13,852.69,0.15,9422.22
2023-04,Australia,Clothing,29,907.45,0.17,21842.32
2023-04,Australia,Clothing,40,570.07,0.08,20978.58
2023-04,Japan,Toys,19,869.48,0.07,15363.71
2023-04,UK,Home,48,711.28,0.25,25606.08
2023-04,India,Electronics,42,114.78,0.21,3808.4
2023-04,Germany,Home,5,882.06,0.26,3263.62
2023-04,UK,Home,23,15.09,0.25,260.3
2023-04,France,Clothing,39,169.15,0.25,4947.64
2023-04,Japan,Electronics,29,266.1,0.06,7253.89
2023-04,France,Clothing,27,981.37,0.19,21462.56
2023-04,Brazil,Clothing,24,820.49,0.04,18904.09
2023-04,UK,Clothing,7,545.85,0.29,2712.87
2023-04,Brazil,Toys,15,932.71,0.03,13570.93
2023-04,Germany,Toys,32,773.15,0.28,17813.38
2023-04,Australia,Electronics,12,76.68,0.17,763.73
2023-04,India,Clothing,26,83.95,0.26,1615.2
2023-04,Japan,Toys,47,969.19,0.22,35530.51
2023-04,UK,Toys,12,34.34,0.01,407.96
2023-04,Japan,Home,15,820.6,0.08,11324.28
2023-04,Brazil,Clothing,34,280.89,0.3,6685.18
2023-04,India,Home,13,855.67,0.16,9343.92
2023-04,France,Electronics,11,228.56,0.02,2463.88
2023-04,Japan,Toys,22,140.02,0.26,2279.53
2023-04,Japan,Toys,28,733.96,0.27,15002.14
2023-04,France,Home,20,403.62,0.08,7426.61
2023-04,UK,Home,1,327.54,0.22,255.48
2023-04,USA,Electronics,35,40.82,0.2,1142.96
2023-04,Germany,Clothing,15,476.82,0.16,6007.93
2023-04,Germany,Clothing,25,869.94,0.23,16746.35
2023-04,Brazil,Home,46,535.05,0.01,24366.18
2023-04,France,Toys,44,42.2,0.28,1336.9
2023-04,UK,Toys,46,467.48,0.0,21504.08
2023-04,Brazil,Electronics,44,255.06,0.17,9314.79
2023-04,Australia,Electronics,22,586.15,0.08,11863.68
2023-04,Australia,Toys,11,984.51,0.04,10396.43
2023-04,France,Clothing,30,398.57,0.14,10283.11
2023-04,Brazil,Clothing,32,660.41,0.23,16272.5
2023-04,Germany,Clothing,41,49.22,0.14,1735.5
2023-04,Australia,Electronics,17,111.76,0.17,1576.93
2023-04,Brazil,Toys,22,218.25,0.1,4321.35
2023-04,Australia,Toys,33,522.53,0.03,16726.19
2023-04,France,Clothing,33,826.27,0.11,24267.55
2023-04,Brazil,Clothing,38,571.87,0.21,17167.54
2023-04,USA,Home,34,50.77,0.2,1380.94
2023-04,Australia,Home,3,897.26,0.18,2207.26
2023-04,India,Home,31,545.88,0.21,13368.6
2023-04,Australia,Toys,28,803.71,0.1,20253.49
2023-04,UK,Home,7,664.21,0.17,3859.06
2023-04,Japan,Clothing,22,457.8,0.19,8158.0
2023-04,India,Toys,42,444.22,0.22,14552.65
2023-04,Germany,Home,12,167.95,0.26,1491.4
2023-04,USA,Home,46,343.53,0.05,15012.26
2023-04,Brazil,Electronics,32,503.21,0.17,13365.26
2023-04,USA,Home,22,338.99,0.16,6264.54
2023-04,UK,Home,28,207.55,0.2,4649.12
2023-04,France,Clothing,15,265.11,0.14,3419.92
2023-04,Japan,Electronics,31,421.75,0.25,9805.69
2023-04,France,Toys,28,377.33,0.3,7395.67
2023-04,Australia,Clothing,49,518.86,0.18,20847.79
2023-04,USA,Electronics,34,491.8,0.26,12373.69
2023-04,USA,Toys,6,658.46,0.3,2765.53
2023-04,USA,Clothing,12,390.01,0.14,4024.9
2023-04,France,Home,33,140.25,0.21,3656.32
2023-04,Australia,Clothing,23,636.22,0.11,13023.42
2023-04,USA,Home,37,855.84,0.15,26916.17
2023-04,Japan,Clothing,47,596.99,0.17,23288.58
2023-04,Germany,Clothing,39,171.89,0.12,5899.26
2023-04,India,Toys,2,859.41,0.0,1718.82
2023-04,India,Toys,12,139.56,0.29,1189.05
2023-04,Brazil,Home,11,884.87,0.13,8468.21
2023-04,Australia,Clothing,29,343.63,0.25,7473.95
2023-04,India,Electronics,20,592.01,0.28,8524.94
2023-04,India,Toys,20,385.57,0.18,6323.35
2023-04,Brazil,Electronics,12,479.88,0.25,4318.92
2023-04,Germany,Toys,28,865.57,0.17,20115.85
2023-04,UK,Electronics,20,277.05,0.02,5430.18
2023-04,Brazil,Electronics,20,61.18,0.19,991.12
2023-04,UK,Clothing,37,934.54,0.09,31465.96
2023-04,India,Home,14,691.33,0.12,8517.19
2023-04,USA,Toys,43,27.21,0.1,1053.03
2023-04,France,Electronics,39,460.19,0.15,15255.3
2023-04,USA,Home,44,536.92,0.04,22679.5
2023-04,Japan,Electronics,16,940.42,0.22,11736.44
2023-04,Australia,Clothing,21,102.96,0.2,1729.73
2023-04,Australia,Clothing,5,963.71,0.08,4433.07
2023-04,India,Home,26,380.55,0.01,9795.36
2023-04,USA,Electronics,26,870.22,0.17,18779.35
2023-04,Germany,Home,8,797.56,0.28,4593.95
2023-05,India,Home,31,662.3,0.12,18067.54
2023-05,France,Electronics,26,355.09,0.05,8770.72
2023-05,Australia,Clothing,9,867.77,0.3,5466.95
2023-05,France,Electronics,13,295.8,0.03,3730.04
2023-05,USA,Electronics,38,333.76,0.2,10146.3
2023-05,Japan,Clothing,18,879.11,0.1,14241.58
2023-05,France,Home,1,129.01,0.16,108.37
2023-05,India,Electronics,15,633.91,0.18,7797.09
2023-05,Brazil,Electronics,19,394.67,0.13,6523.9
2023-05,India,Toys,49,449.98,0.0,22049.02
2023-05,UK,Home,8,671.53,0.19,4351.51
2023-05,Japan,Electronics,3,546.94,0.29,1164.98
2023-05,USA,Clothing,28,35.39,0.1,891.83
2023-05,Germany,Electronics,34,531.36,0.07,16801.6
2023-05,Germany,Home,43,767.23,0.24,25073.08
2023-05,USA,Toys,43,28.05,0.06,1133.78
2023-05,Brazil,Toys,47,80.57,0.29,2688.62
2023-05,Germany,Home,15,205.18,0.14,2646.82
2023-05,UK,Clothing,14,491.01,0.08,6324.21
2023-05,Germany,Clothing,27,930.31,0.16,21099.43
2023-05,Australia,Toys,42,614.23,0.21,20380.15
2023-05,India,Electronics,4,824.94,0.16,2771.8
2023-05,Brazil,Home,44,189.62,0.16,7008.36
2023-05,Brazil,Home,49,571.64,0.08,25769.53
2023-05,Germany,Toys,4,96.17,0.24,292.36
2023-05,Germany,Toys,45,636.82,0.29,20346.4
2023-05,Brazil,Clothing,21,885.36,0.07,17291.08
2023-05,India,Home,10,183.03,0.11,1628.97
2023-05,USA,Toys,24,359.89,0.07,8032.74
2023-05,France,Toys,24,824.39,0.13,17213.26
2023-05,USA,Electronics,18,768.99,0.04,13288.15
2023-05,Brazil,Clothing,5,176.33,0.22,687.69
2023-05,USA,Electronics,21,104.76,0.01,2177.96
2023-05,Brazil,Home,28,214.12,0.19,4856.24
2023-05,India,Clothing,13,598.53,0.15,6613.76
2023-05,USA,Toys,35,601.08,0.2,16830.24
2023-05,USA,Clothing,39,727.27,0.0,28363.53
2023-05,Australia,Toys,46,113.07,0.22,4056.95
2023-05,USA,Toys,39,774.9,0.08,27803.41
2023-05,France,Electronics,36,199.95,0.1,6478.38
2023-05,UK,Clothing,41,620.98,0.13,22150.36
2023-05,Germany,Clothing,5,79.23,0.19,320.88
2023-05,Australia,Clothing,8,654.37,0.16,4397.37
2023-05,France,Clothing,3,198.42,0.02,583.35
2023-05,Germany,Clothing,38,562.21,0.22,16663.9
2023-05,Japan,Toys,8,584.67,0.03,4537.04
2023-05,France,Electronics,29,693.1,0.06,18893.91
2023-05,Australia,Clothing,30,455.87,0.23,10530.6
2023-05,India,Toys,12,981.42,0.14,10128.25
2023-05,Japan,Electronics,23,405.32,0.05,8856.24
2023-05,France,Toys,40,770.91,0.07,28677.85
2023-05,Japan,Electronics,20,627.35,0.03,12170.59
2023-05,Brazil,Toys,33,612.4,0.15,17177.82
2023-05,Germany,Clothing,14,126.47,0.07,1646.64
2023-05,France,Clothing,41,96.77,0.28,2856.65
2023-05,India,Electronics,11,827.03,0.08,8369.54
2023-05,USA,Toys,18,520.52,0.28,6745.94
2023-05,UK,Home,22,570.91,0.12,11052.82
2023-05,Germany,Home,49,125.2,0.25,4601.1
2023-05,UK,Clothing,24,537.16,0.22,10055.64
2023-05,UK,Toys,7,311.63,0.02,2137.78
2023-05,France,Home,2,162.25,0.07,301.78
2023-05,Japan,Toys,18,644.56,0.25,8701.56
2023-05,India,Electronics,33,923.53,0.15,25905.02
2023-05,Japan,Toys,46,183.09,0.15,7158.82
2023-05,India,Clothing,25,669.64,0.04,16071.36
2023-05,France,Clothing,4,143.81,0.29,408.42
2023-05,Germany,Toys,32,130.81,0.18,3432.45
2023-05,Brazil,Clothing,20,445.12,0.03,8635.33
2023-05,Japan,Toys,29,27.51,0.18,654.19
2023-05,Brazil,Home,31,70.74,0.23,1688.56
2023-05,USA,Electronics,2,489.76,0.23,754.23
2023-05,Brazil,Toys,15,983.84,0.07,13724.57
2023-05,UK,Electronics,9,784.87,0.08,6498.72
2023-05,Brazil,Toys,16,71.67,0.15,974.71
2023-05,Brazil,Toys,17,240.32,0.07,3799.46
2023-05,France,Toys,36,531.77,0.13,16655.04
2023-05,Brazil,Electronics,35,374.08,0.12,11521.66
2023-05,Japan,Home,37,393.21,0.29,10329.63
2023-05,Brazil,Clothing,27,424.39,0.24,8708.48
2023-05,France,Clothing,23,145.74,0.16,2815.7
2023-05,India,Electronics,21,835.96,0.19,14219.68
2023-05,France,Clothing,37,959.98,0.15,30191.37
2023-05,UK,Electronics,11,459.83,0.25,3793.6
2023-05,Brazil,Electronics,26,135.93,0.26,2615.29
2023-05,Australia,Toys,18,481.26,0.11,7709.79
2023-05,Germany,Electronics,38,398.47,0.29,10750.72
2023-05,India,Electronics,17,662.11,0.28,8104.23
2023-05,USA,Toys,48,262.12,0.25,9436.32
2023-05,USA,Toys,40,466.86,0.19,15126.26
2023-05,USA,Toys,22,640.3,0.18,11551.01
2023-05,Germany,Home,24,883.63,0.03,20570.91
2023-05,Germany,Electronics,23,683.43,0.01,15561.7
2023-05,India,Home,43,662.45,0.24,21648.87
2023-05,UK,Toys,17,956.94,0.22,12689.02
2023-05,USA,Home,46,991.67,0.29,32387.94
2023-05,UK,Home,28,361.29,0.12,8902.19
2023-05,France,Clothing,32,78.03,0.13,2172.36
2023-05,Brazil,Toys,48,968.18,0.09,42290.1
2023-05,Australia,Toys,25,976.23,0.2,19524.6
2023-06,UK,Electronics,36,618.86,0.23,17154.8
2023-06,India,Electronics,10,800.73,0.09,7286.64
2023-06,Australia,Clothing,13,586.6,0.22,5948.12
2023-06,Australia,Toys,34,136.81,0.1,4186.39
2023-06,Australia,Clothing,9,378.45,0.13,2963.26
2023-06,Germany,Clothing,25,172.05,0.08,3957.15
